file,name,city,old_lat,old_lon,google_lat,google_lon,dist_deg,status,google_name,google_addr
AbuSimbelAttractions.swift,Great Temple of Ramesses II,Abu Simbel,22.3369,31.6256,22.337232,31.625799,0.00039,ok,Abu Simbel Temples,"Abu Simbel, Aswan Governorate 1211501, Egypt"
AbuSimbelAttractions.swift,Small Temple of Nefertari,Abu Simbel,22.3367,31.6267,22.337662,31.626689,0.00096,ok,Temple of Nefertari,"8JQG+3M8, Abu Simbel, Aswan Governorate 1211501, Egypt"
AbuSimbelAttractions.swift,Abu Simbel Village,Abu Simbel,22.35,31.6167,22.346009,31.615624,0.00413,ok,Abu Simbel,"Abu Simbel, قسم الواحات الخارجة، Aswan Governorate, Egypt"
AlexandriaAttractions.swift,Bibliotheca Alexandrina,Alexandria,31.2089,29.9092,31.208903,29.909159,4e-05,ok,Alexandria Bibliotheca,"الأزاريطة والشاطبي، باب شرق، محافظة الإسكندرية 21526, Egypt"
AlexandriaAttractions.swift,Citadel of Qaitbay,Alexandria,31.2136987,29.8853921,31.213699,29.885392,0.0,ok,Qaitbay Citadel,"السيالة شرق، قسم الجمرك،، As Sayalah Sharq, Al Gomrok, Alexandria Governorate 5321431, Egypt"
AlexandriaAttractions.swift,Montaza Palace,Alexandria,31.288662,30.0158421,31.288464,30.015992,0.00025,ok,Montaza Palace,"Montaza Palace, El-Gaish Rd, Al Mandarah Bahri, Montaza 2, Alexandria Governorate 5527001, Egypt"
AlexandriaAttractions.swift,Kom el-Shoqafa,Alexandria,31.1787378,29.8930706,31.178738,29.893071,0.0,ok,Catacombs of Kom el Shoqafa,"12 متفرع من ش، Ras at Tin, Port al-Basal, Alexandria Governorate 5341042, Egypt"
AlexandriaAttractions.swift,Pompey's Pillar,Alexandria,31.1849094,29.8992082,31.184909,29.899208,0.0,ok,Pompey's Pillar,"Pompey's Pillar, Alexandria Governorate, Egypt"
AlexandriaAttractions.swift,Stanley Bridge,Alexandria,31.2350274,29.9485987,31.235027,29.948599,0.0,ok,Stanley Bridge,"Stanley Bridge, Fleming, El Raml 1, Alexandria Governorate, Egypt"
AlexandriaAttractions.swift,Roman Amphitheatre,Alexandria,31.1944,29.9042,31.194506,29.903902,0.00032,ok,Alexandria Ancient Roman Theater,"Ismail Mahana Road أمام محطة مصرالسكة الحديدية، Kom Ad Dakah Gharb, Al Attarin, Alexandria Governorate 21517, Egypt"
AlexandriaAttractions.swift,Alexandria National Museum,Alexandria,31.2017,29.9136,31.200741,29.913198,0.00104,ok,Alexandria National Museum,"131 El-Shaheed Galal El-Desouky, باب شرقي ووابور المياه، باب شرق، محافظة الإسكندرية 5423004, Egypt"
AlexandriaAttractions.swift,Corniche Road,Alexandria,31.2156,29.9242,31.209586,29.907631,0.01763,ok,Corniche,"Corniche, Al Azaritah WA Ash Shatebi, Bab Shar', Alexandria Governorate 5424020, Egypt"
AlexandriaAttractions.swift,El Mursi Abu El Abbas Mosque,Alexandria,31.2056,29.8822,31.2055,29.881672,0.00054,ok,"Sidi Morsi Abu al-Abbas Mosque, alexandria","السيد محمد كريم ٩ مجموعه عمر بن الخطاب السوق التجاري ميدان المساجد.أبو العباس المرسي.بحري، As Sayalah Sharq, Al Gomrok, Alexandria Governorate 21500, Egypt"
AswanAttractions.swift,Philae Temple,Aswan,24.0264,32.8842,24.01266,32.87754,0.01527,ok,Philae,"Philae, Aswan 1, Aswan Governorate, Egypt"
AswanAttractions.swift,Aswan High Dam,Aswan,23.9706,32.8781,23.970883,32.87727,0.00088,ok,Assuão-The High Dam,"XVCG+9W2, Manteqet as Sad Al Aali, Aswan, Aswan Governorate 1230952, Egypt"
AswanAttractions.swift,Unfinished Obelisk,Aswan,24.0778,32.8994,24.076897,32.895437,0.00406,ok,Unfinished Obelisk,"3VGW+RCF, Luxor - Aswan, Sheyakhah Oula, Aswan, Aswan Governorate 1241771, Egypt"
AswanAttractions.swift,Nubian Museum,Aswan,24.0831,32.8858,24.079425,32.889175,0.00499,ok,Nubian Museum,"3VHQ+P67, Assuan, Sheyakhah Oula, Aswan 1, Aswan Governorate 1240842, Egypt"
AswanAttractions.swift,Elephantine Island,Aswan,24.0833,32.8833,24.083333,32.883333,5e-05,ok,Elephantine,"Elephantine, Sheyakhah Oula, Aswan, Aswan Governorate 1240860, Egypt"
AswanAttractions.swift,Nubian Villages,Aswan,24.1,32.8667,24.108851,32.884882,0.02022,updated,Nubian Eco Village,"West، Aswan, Aswan Governorate 1231022, Egypt"
AswanAttractions.swift,Aswan Botanical Garden,Aswan,24.0889,32.8722,24.093738,32.886956,0.01553,ok,Aswan Botanical Garden,"3VVP+FQW, Sheyakhah Oula, Aswan, Aswan Governorate 1231011, Egypt"
AswanAttractions.swift,Tombs of the Nobles,Aswan,24.1028,32.8833,24.10254,32.890459,0.00716,ok,Tombs of the Nobles in Aswan,"4V3R+258, Abu AR Rish Qebli, Aswan, Aswan Governorate 1231021, Egypt"
AswanAttractions.swift,Aga Khan Mausoleum,Aswan,24.0917,32.8833,24.088226,32.878797,0.00569,ok,Aga Khan Mausoleum,"3VQH+7GV, Sheyakhah Oula, Aswan, Aswan Governorate 1231020, Egypt"
AswanAttractions.swift,Felucca Rides on the Nile,Aswan,24.0889,32.8972,24.090115,32.894511,0.00295,ok,Felucca Tour John Cairo جولة فيلوكا جون كايرو,"93 Kornish Al Nile, Sheyakhah Thalethah, Aswan 1, Aswan Governorate 1242631, Egypt"
